!#This contains the mission control text from Helldivers 2, the third column is the desired text that should be spoken
DEF: 3 #Do not delete! This indicates in which column the real text is
!#1631786391783445411  | Bot outpost destroyed. | Bot outpost  destroyed.
!#2712563755028188506  | Bot outpost destroyed. | Bot outpost, destroyed. Well done pilot.
!#16255908987685670955 | Bot outpost destroyed. | Bot outpost, erradicated.
!#8558300875180877567    | Bot asset destroyed. | Bot asset destroyed.
!#580371860179382288     | Bot asset destroyed. | Bot asset, destroyed.
!#12671387541984136886   | Bot asset destroyed. | Bot asset, erradicated.
!#1640234586941571398  | Outpost cleared. | Outpost, cleared. 
!#16651616493113016950 | Outpost cleared. | Outpost cleared.
!#9385006190219681477  | Outpost cleared. | Outpost, cleared. Well done, pilot.
!#13176305150644906158 | Outpost cleared. | Outpost, erradicated.
!#6869757104095192926  | Outpost destroyed. | Outpost, destroyed. Well done pilot.
!#14556384523294776315 | Outpost destroyed. | Outpost, destroyed. Great work, pilot.
!#2289875201066612932  | Outpost destroyed. | Outpost destroyed.
!#5248250918792653699  | Outpost destroyed. | Outpost, erradicated. Well done pilot.
!#5406777906489898773  | Outpost destroyed. | Outpost erradicated.
!#11632047502715431006 | Outpost destroyed. | Outpost, erradicated.
!#11622972603281094484 | Outpost destroyed. | Outpost, scrapped.
!#7148347685596354930 | Illuminate outpost destroyed. | Squid outpost, destroyed.
!#8737700285807016694 | Illuminate outpost destroyed. | Squid outpost destroyed.
!#17738909655237205859 | Illuminate outpost destroyed. | Squid outpost, destroyed.
!#8303286577823141783 | Illuminate outpost erased.    | Squid outpost, erased.
!#3210124933200623511 | Illuminate outpost erased.    | Squid outpost erased.
!#7057260363616624860 | Illuminate outpost erased.    | Squid outpost, erased. Well done, pilot. 
!#17822818843853793233 | Squid outpost destroyed. | Squid outpost, destroyed.
!#3312473580011985303  | Squid outpost destroyed. | Squid outpost, destroyed. Well done pilot.
!#4497294952856082940  | Squid outpost destroyed. | Squid outpost destroyed.
!#4058127377664693699  | Enemy tactical asset within range. | Enemy tactical asset within range. 
!#6308171935299136558  | Enemy tactical asset within range. | Enemy tactical asset within range. Eliminate it.
!#12614565780439173914 | Enemy tactical asset within range. | Enemy tactical asset within range.
!#9410000718142141241 |  Enemy tactical asset within threat range. | Enemy tactical asset within threat range. 
!#16520491031023972191 | Enemy tactical asset within threat range. | Enemy tactical asset within threat range. Eliminate it.
!#12846121010909205002 | Enemy tactical asset within threat range. | Enemy tactical asset within threat range. Be careful, pilot.
!#10039857707168747429 | Asset secured. | Asset secured. Well done. 
!#15470740335639571964 | Asset secured. | Asset secured.
!#17471577978855877844 | Tactical asset, nearby. | Tactical asset nearby.
!#5797066534780881184 | Tactical asset, nearby. | Tactical asset, nearby.
!#1749618523300839722 | Tactical asset, nearby. | Tactical asset nearby, pilot.
!#3702164761157987561  | Tactical asset near your position. | Pilot, tactical asset near your position.
!#11183987167420679710 | Tactical asset near your position. | Tactical asset near your position. Check your HUD.
!#360296970873126457   | Tactical asset near your position. | Tactical asset near your position.
!#6967786420943085433  | Tactical asset near your location. | Tactical asset near your location.
!#7933303045534355067  | Tactical asset near your location. | Pilot, tactical asset near your location. 
!#13660479633361646736 | Tactical asset near your location. | Tactical asset near your location. Check your HUD.
!#17753857740031681957 | Main objective near your position. | Main objective near your position.
!#914025437264095724   | Main objective near your position. | Pilot, main objective near your position.
!#12737703787912815570   | Main objective near your position. | Main objective, near your position.
!#1274437080994763670  | Main objective nearby. | Main objective nearby.
!#17443402300949857041 | Main objective nearby. | Pilot, main objective nearby.
!#17333309348805619977 | Main objective nearby. | Main objective, nearby.
!#8611297617752175464  | You may proceed to extraction when ready. | You may proceed to extraction when ready. 
!#3612214417873902862  | You may proceed to extraction when ready. | Proceed to extraction when ready.
!#10925266498781435441 | You may proceed to extraction when ready. | Pilot, you may proceed to extraction when ready. 
!#6114872905503118908 | Mission is progressing. | Mission is progressing.
!#217588042518126556  | Mission is progressing. | Mission is progressing. Well done pilot.
!#3724793195873019946 | Mission is progressing. | Mission is progressing. Keep going.
!#9270349902163247270 | Making progress. | Mission progress has been logged.
!#2121731894112519323 | Making progress. | Protocol 2, uphold the mission.
!#15323132358201184880| Making progress. | Pilot, mission is progressing.
!#5073790565737251070 | One step closer to mission completion. | Mission timeline, updated.
!#5609981980360918302 | One step closer to mission completion. | Current objective, completed. Well done pilot.
!#16899958325167373413| One step closer to mission completion. | This victory has raised our combat efficiency rating.
!#14742185814623904896 | Target destroyed in the name of liberty. | Hostile eliminated. The militia thanks you, pilot.
!#13479082935141050759 | Target destroyed in the name of liberty. | Target erradicated. The militia thanks you, pilot.
!#11099349623400466709 | Target destroyed in the name of liberty. | Hostile eliminated. Well done pilot.
!#2193340216410745754  | Freedom's purity secured. | Objective secured. Mission integrity, maintained.
!#12881764720816916309 | Freedom's purity secured. | Hostile forces eliminated, mission parameters intact.
!#17662180825078152817 | Liberty dispensed. | Target neutralized, uphold the mission.
!#4840362272225362584  | Liberty dispensed. | Hostiles down, current area secured.
!#993071437589301149   | Target destroyed. | Target eliminated.
!#128384746488268315   | Target destroyed. | Hostile eliminated.
!#3967952116330444900  | Target destroyed. | Enemy down.
!#6722298025923238379  | Target destroyed. | Target down.
!#10217401522610053240 | Target destroyed. | Target down. Good shot, pilot.
!#3967952116330444900    | Target destroyed. | Target down pilot.
!#14933986664250593120| Targets destroyed. | Enemies eliminated.
!#5729828399010759031 | Targets destroyed. | Targets eliminated.
!#7270286543850037083 | Targets destroyed. | Targets eliminated. Good shooting, pilot.
!#17234068238131052772 | Targets destroyed.| Hostiles eliminated, combat rating effectiveness has increased.
!#15788145382206621105 | Targets destroyed.| All threats eliminated.
!#81117298275378874   | Enemy high priority target should be nearby, stay sharp. | Pilot, enemy high priority target should be nearby, stay sharp.
!#9268130593865568580 | Enemy high priority target should be nearby, stay sharp. | Enemy high priority target should be nearby, stay sharp.
!#3108391808881670507| High priority target eliminated. | High priority target eliminated. Good shot, pilot.
!#5061909457162482877  | High priority target eliminated. | High priority target eliminated.
!#13509052322051978254 | High priority target eliminated. | High priority target, eliminated.
!#11399249013258591428 | High priority target neutralized.| High priority target, neutralized.
!#15712845760827338811 | High priority target neutralized.| High priority target, neutralized.
!#7340269523310905223  | High priority target neutralized. | Pilot, the high priority target has been eliminated.
!#14435689952326719836 | High priority target eliminated, justice served. | Target of interest eliminated. Risk to operation reduced.
!#16916712598992074917 | High priority target eliminated, justice served.   | High value target eliminated.
!#14921851166724763289 | High priority target eliminated, justice served. | Target of interest eliminated.
!#5677045662863388086 | Democracy's dignity maintained. | Captain Lastimosa would be proud.
!#7740733330629470219 | Democracy's dignity maintained. | Pilot, local control reestablished.
!#16958706214882314358 | High priority target is in your vicinity.| High value target is in your vicinity.
!#5541345585657022132 | High priority target is in your vicinity. | High value target is in your vicinity. Be careful, pilot.
!#9688366426374959194 | High priority target is in your vicinity. | High value target, in your vicinity.
!#8318507426084857348 | Be advised, the enemy high priority target is near your position. | Pilot, scans detect a high value target nearby.
!#4062124592444685948 | Be advised, the enemy high priority target is near your position. | Pilot, expect contact. High value target is nearby.
!#12353076463861277462| Be advised, the enemy high priority target is near your position. | Scans indicate a high value target nearby. Exercise caution.
!#14195996035848267178 | Democracy delivered. | Multiple hostiles eliminated. Pilot efficiency has been logged.
!#2086731360692422694  | Democracy delivered. | Hostiles eliminated. Well executed, pilot.
!#16882089422774256746 | Package retrieved. | Package retrieved.
!#17381872453552574963 | Package retrieved. | Package, retrieved.
!#1644758498151407609  | Mission progress logged. | Mission progress, logged.
!#14519009530995487518 | Mission progress logged. | Mission progress logged.
!#10029235200031250033 | Mission progress logged. | Mission progress logged. You're doing well, pilot.
!#17754016919120649791 | Objective nearby.| Objective nearby.
!#8508431506164206085 | Objective nearby.| Objective nearby.
!#9970461406589572931 |  Objective nearby.| Objective nearby, pilot.
!#1437775721461971130  | Objective near your position.| Objective near your position, pilot.
!#11155023137893639562 | Objective near your position.| Objective near your position.
!#14115376668018752312 | Objective near your position.| Pilot, objective near your position.
!#15418052597058130639 | Objective critical stratagem available.|Pilot, use of tactical asset authorized .
!#12850363172854437270 | Objective critical stratagem available.|Use of tactical asset, authorized.
!#17988583498818568655 | Objective critical stratagem no longer available. |Pilot, use of tactical asset, revoked.
!#15415888222594290424 | Objective critical stratagem no longer available. |Use of tactical asset, revoked.
!#13253630681743368663  | Objective secured. | Objective secured.
!#7903828966368143957   | Objective secured. | Objective, secured.
!#14894811001619243777  | Objective secured. | Objective secured, pilot.
!#9019805937608944186  | Objective complete. | Objective complete.
!#6007878044317675690  | Objective complete. | Objective, complete.
!#10877793842412999406 | Objective complete. | Objective complete, pilot.
!#8498790631789530103  | Objective complete. | Pilot, objective complete.
!#16678019677881536676  | Objective complete. | Objective complete. Keep moving, pilot.
!#16982977713701461125| Objective completed. | Objective completed.
!#6766608116958521532| Objective completed. | Objective completed. Great work, pilot.
!#3237759011630175924| Objective completed. | Objective completed. Good job, pilot.
!#368354175904986502  | Objective completed. | Objective, completed.
!#3430280503378852910  | Objective defended. | Objective defended.
!#7121821128509542444  | Objective defended. | Objective defended. Well done, pilot.
!#5784222738345194156 | Objective target destroyed. | Objective target, destroyed.
!#9831880271549273683 | Objective target destroyed. | Objective target destroyed.
!#13011927066551699038 | Objective target destroyed. | Objective target, erradicated.
!#1717978624394642637 | Objective targets destroyed. | All designated targets eliminated.
!#8304681722256212255 | Objective targets destroyed. | All designated targets eliminated.
!#17991933521135219930 | Objective targets destroyed. | All designated targets destroyed.
!#2966090540242140991 | Objective targets destroyed. | All designated targets, destroyed.
!#6764832311183925619 | Sub-objective in your vicinity. | Sub objective nearby.
!#3850387788241431220 | Sub-objective in your vicinity. | Sub objective nearby. 
!#8095800013180815637 | Sub-objective in your vicinity. | Pilot, sub objective nearby.
!#6990005443502313335 | Sub-objective in your vicinity. | Pilot, a sub objective is nearby.
!#8889671393881173230 | Sub-objective nearby. | Sub objective nearby.
!#2610143735336839251 | Sub-objective nearby. | Sub objective nearby.
!#1147990061261259784 | Sub-objective nearby. | Pilot, sub objective nearby.
!#5245182334293619091 | Sub-objective nearby. | Pilot, a sub objective is nearby.
!#1280362362278044841 | Sub-objective near your location. | Sub objective nearby.
!#4208198446834429127 | Sub-objective near your location. | Sub objective nearby, pilot.
!#15777021889650386455| Sub-objective near your location.|  Pilot, sub objective near your location.
!#4440769145163568112 | Sub-objective near your location. | Scans reveal a sub objective nearby.
!#5920836962027588368 | Hellbomb request approved, deploying now. | Hell bomb confirmed. Deploying now.
!#5134078271778531968 | Hellbomb request approved, deploying now. | Hell bomb confirmed. Launch sequence initiated.
!#2093667447169872589 | Hellbomb, request approved, on its way now. | Hell bomb confirmed. Inbound to target coordinates.
!#12382554171509196312 | Hellbomb, request approved, on its way now. | Hell bomb, on its way.
!#14063526837523801046 | Human assets relocated. | Human assets secured pilot.
!#17013532150446693304 | Human assets relocated. | Human assets secured, pilot.
!#1795797026490454954 | Human assets secured.| Human assets secured.
!#1355945825610657797 | Human assets secured.| Human assets, secured.
!#1345842300562943353 | V.I.P. secured. | V I P secured
!#11369393568315703609 | V.I.P. secured. | High value target secured.
!#4288185870480916701 | V.I.P. secured. | Pilot, high value target secured.
!#16906060476455599814 | Firing orbital barrage, clear the area. | Orbital payload launched. Pilot, danger close.
!#9762884227701097616 | Firing orbital barrage, clear the area.  | Orbital payload launched. Danger close.
!#15416795450932106109 | Firing orbital barrage, clear the area. | Orbital payload launched. Be careful, pilot.
!#13954040625831821257 | Orbital barrage incoming, stand clear. | Incoming orbital fire.
!#1277254956466404568 | Orbital barrage incoming, stand clear. | Incoming orbital fire, danger close.
!#11535614365876135682 | Orbital barrage incoming, stand clear.| Incoming orbital fire, stand clear.
!#3338729373143232076 |  Orbital strike incoming. | Orbital strike incoming.
!#6094141043905703076 |  Orbital strike incoming. | Orbital strike inbound.
!#14313452205067907984 | Orbital strike incoming. | Orbital strike, inbound.
!#5832472013653289639 | Firing orbital strike. | Orbital strike, launched.
!#6647045314542420246 | Firing orbital strike. | Orbital strike, inbound.
!#9161098106100410906 | Deploying support station. | Deploying support station.
!#7544117074380299054 | Deploying support station. | Launching support station.
!#1752322116348737889 | Deploying support station. | Deploying support station.
!#10668895632162930366 | Support station on its way. | Support station, inbound.
!#16389037068509580738 | Support station on its way. | Support station inbound.
!#4308618637334717730 | Support station on its way.  | Support station, launched.
!#15312176795025801483 | Deploying support weapon. | Support weapon, launched.
!#7511894887085801701    | Deploying support weapon. | Support weapon, en route.
!#7330709006683605407 | Deploying support weapon.  | Support weapon, incoming.
!#13357849580441306456 | Deploying support weapon. | Tactical support weapon, en route.
!#1739551200995667468 | Sending down support weapon. | Deploying support weapon.
!#12460955836106585918 | Sending down support weapon. | Support weapon, descending.
!#16979737099376561722 | Sending down support weapon. | Support weapon deployed.
!#5973055390750703865 | Deploying equipment package. | Equipment package, inbound.
!#6390325667407840512 | Deploying equipment package. | Equipment drop, in progress.
!#18063891330825072475 | Deploying equipment package.| Equipment package, en route.
!#14408369074852117720 | Sending down equipment package. | Initiating equipment drop.
!#10561164093048697820 | Sending down equipment package. | Equipment delivery confirmed.
!#14510198511628609056 | Sending down equipment package. | Equipment package, deployed.
!#11617984723960143815 |Sending down fortification. | Fortification, inbound.
!#1422215967014474002 | Sending down fortification. | Fortification, en route.
!#6071561563518273335 | Sending down fortification. | Fortification, inbound.
!#5454069921815321990 | Deploying fortification. | Deploying fortification.
!#4971025110528841746 | Deploying fortification. | Fortification, launched. 
!#3267474578135322114 | Deploying fortification. | Fortification deployed.
!#16890601726106987979 | Sending down sentry. | Sentry, inbound.
!#15491923646737225821 | Sending down sentry. | Sentry, en route.
!#17341295165359652640 | Sending down sentry. | Sentry inbound.
!#12287229807803734159   |Deploying sentry. | Deploying sentry.
!#16351805899922528790   |Deploying sentry. | Sentry deployed.
!#5297680671185448194    | Deploying sentry. | Deploying sentry.
!#15122716897305385237 |    Firing non-lethal payload. | Non-lethal payload, launched.
!#13906735522990495112 |    Firing non-lethal payload. | Non-lethal payload, inbound.
!#14753294392618790535 |    Firing non-lethal payload. | Non-lethal payload inbound.
!#9806047211767716409  |    Deploying non-lethal payload. | Deploying non-lethal payload.
!#2569828878252673143 |  Deploying non-lethal payload. | Non-lethal payload, deployed.
!#11145738458271401190 | Deploying non-lethal payload. | Non-lethal payload, inbound. Impact imminent.
!#13755506563178729351 | Deploying minefield, stand clear. | Deploying minefield, exercise caution.
!#2564695806676679375 |  Deploying minefield, stand clear. | Deploying minefield, stand clear.
!#15293839768044043740 | Deploying minefield. | Deploying minefield.
!#510104509864280244 |   Deploying minefield. | Deploying minefield.
!#14699517475576600246 | Weapon emplacement on its way. | Weapon emplacement, inbound.
!#10043134371552845886 | Weapon emplacement on its way. | Weapon emplacement, en route.
!#8248289962463964762 |  Deploying weapon emplacement.  | Deploying weapon emplacement.
!#8625699206881768653 |  Deploying weapon emplacement.  | Deploying weapon emplacement.
!#10590861366033526448 | Deploying smoke screen. | Deploying smoke-screen.
!#7979089441321293237  | Deploying smoke screen. | Smoke-screen, inbound.
!#13251573981228420854 | Launching smoke screen. | Launching smoke-screen.
!#9366527798544151973  | Launching smoke screen. | Smoke-screen, launched.
!#8417346756797860290 | Deploying illumination flare.
!#1587686808823894763 | Deploying illumination flare.
!#12380214422372532710| Deploying illumination flare.
!#7723046829999582741  | Gas strike incoming. | Gas strike incoming.
!#11564539308484544717 | Gas strike incoming. | Gas strike, incoming.
!#15810578568391730609 | Firing gas strike. | Firing gas strike.
!#2049922747333648786  | Firing gas strike. | Firing gas strike.
!#2049922747333648786  | Firing gas strike. | Firing gas strike.
!#7090185723143455372 | Firing orbital laser. | Firing orbital laser.
!#7301614802837935888 | Firing orbital laser. | Firing orbital laser.
!#2478844670580183104 | Engaging orbital laser. | Engaging orbital laser.
!#5316323948819819056 | Engaging orbital laser. | Engaging orbital laser.
!#7814695765931306015 |   Squad lost, deploying full replacement. | Squad lost, deploying full replacement.
!#7092390751459942149 |   Squad lost, deploying full replacement. | Pilot, deploying full replacement squad.
!#15164147194952403750 | Squad lost, deploying replacement squad. | Squad lost, deploying full replacement.
!#5552043867210136773 |  Squad lost, deploying replacement squad. | Pilot, unit K.I.A.. Replacement squad inbound.
!#15355388093923948969 | Helldiver killed in action, deploying replacement. | Pilot K.I.A. . Deploying replacement.
!#742489848528268855   | Helldiver killed in action, deploying replacement. | Pilot lost. Deploying replacement.
!#3100186051929079986  | Helldiver killed in action, deploying replacement. | Pilot killed in action. Deploying replacement.
!#13302570063529385437 | Helldiver lost, sending replacement. | Pilot lost, sending replacement.
!#13191256889029151939 | Helldiver lost, sending replacement. | Pilot lost, replacement, en route.
!#16898683458008828363 | Helldiver lost, sending replacement. | Pilot lost, replacement inbound.
!#13138504679496132262 | Half reinforcement budget remaining. | Reinforcement budget, at fifty percent. 
!#18418589508156975137 | Half reinforcement budget remaining. | Reinforcement budget, at fifty percent. 
!#16419782072500986896 | Half reinforcement budget remaining. | Reinforcement budget, at fifty percent capacity. 
!#12586930906573312182 | Additional reinforcement funding approved. | Additional reinforcements, approved.
!#14023973834323725102 | Additional reinforcement funding approved. | Additional reinforcements, authorized.
!#303543897848534591   | Additional reinforcement funding approved. | Additional reinforcements, approved.
!#16059042733317643881 | Funding approved for one more reinforcement. | Pilot, additional reinforcements have been approved.
!#15633434152078771851 | Funding approved for one more reinforcement.| Funding approved for one more reinforcement.
!#936271686837697034   | Funding approved for one more reinforcement.| Funding approved for one more reinforcement.
!#3120927351702970361   | Request approved, deploying reinforcements.| Request approved, deploying reinforcements.
!#16133844782781774612  | Request approved, deploying reinforcements.| Request approved. Deploying pilots.
!#16079948021257460837 | Request approved, reinforcements on the way.| Request approved. Reinforcements inbound.
!#16823393696014415436 | Request approved, reinforcements on the way.| Request approved, reinforcements are en route.
!#17101670425554220256 | Request approved, reinforcements have been launched. | Request approved, reinforcements have been launched.
!#3971032946510692515 | Request approved, reinforcements have been launched. | Request approved. Reinforcements, launched.
!#6155541887611228382 | I repeat, reinforcement ready. | I repeat, reinforcement ready.
!#9098130661218472643 | I repeat, reinforcement ready. | Pilot, reinforcement ready.
!#1599171774248966720  | I say again, reinforcement is available.| Request approved, reinforcements on the way.
!#14775168150571859397 | I say again, reinforcement is available. | Pilot, reinforcement is available.
!#13936769526522508958 | Reinforcement available. | Reinforcement ready.
!#15930295993805414615 | Reinforcement available. | Reinforcement ready, pilot.
!#15905655305571982943 | Reinforcement available. | Reinforcement standing by. 
!#7696312166734395571 | Reinforcement ready upon request. | Pilot, reinforcement is ready.
!#6552401598884963747 | Reinforcement ready upon request. | Reinforcement, ready upon request.
!#3397179081449097353 | Reinforcement ready upon request. | Reinforcement ready upon request.
!#9787464285736535614  | Reinforcement ready to fire. | Reinforcement standing by, pilot.
!#3007370160150586112  | Reinforcement ready to fire. | Reinforcement, ready to fire.
!#16449568844565274767 | Reinforcement ready to fire. | Pilot, reinforcement ready to fire.
!#4029341261404252687  | Reinforcement budget depleted. | Reinforcement budget, depleted.
!#11263905045126959334 | Reinforcement budget depleted. | Reinforcement budget depleted.
!#629807909345220492   | Reinforcement budget depleted. | Pilot, reinforcement budget depleted.
!#14458676491556883765 | Reinforcement budget running low. | Reinforcement budget, running low.
!#12350338007538915793 | Reinforcement budget running low. | Reinforcement budget running low.
!#1580136544212916650  | Reinforcement budget running low. | Pilot, reinforcement budget running low.
!#5451927754594209414 | Mission map updated. | Mission map, updated.
!#3321934783849364189 | Mission map updated. | Mission map updated.
!#9243743988506791144  | Enemy reinforcements incoming. | Enemy reinforcements, inbound.
!#17146745098528467298 | Enemy reinforcements incoming. | Enemy reinforcements, incoming.
!#3747432914171911704 | Squid teleportation signature detected. | (UNUSED?) Squid teleportation signature detected.
!#4553466248951376361  | Squid teleportation signature detected. | (UNUSED?) Squid teleportation signature detected.
!#8075314390196515597  | Squid teleportation incoming. | (UNUSED?) Squid teleportation incoming. 
!#16638659733843096584 | Squid teleportation incoming. | (UNUSED?) Squid teleportation, enemies inbound.
!#17705402258811388069 | Teleportation signature detected, squids incoming. | (UNUSED?)Teleportation signature detected, enemies incoming.
!#13362742397780923893 | Teleportation signature detected, squids incoming. | (UNUSED?)Teleportation signature detected, enemies approaching.
!#4771467609880247119 | Hostiles incoming. | Hostiles incoming.
!#3516377304255597457 | Hostiles incoming. | Hostiles inbound.
!#15123922496688686978 | Bot dropships, incoming on your position. | Bot dropships, en route to your location.
!#18213420030886766226 | Bot dropships, incoming on your position. | Bot dropships, inbound on your location.
!#13671522801957752703 | Bot dropships inbound to your position. | Pilot, bot dropships are approaching. 
!#7198050125728366879    | Bot dropships inbound to your position. | Pilot, bot dropships are inbound. 
!#16880462551197102795 | Bot dropships, incoming.| Bot dropships, inbound.
!#395869652808219553   | Bot dropships, incoming.| Bot dropships, incoming.
!#12518796673250098865 | Unidentified enemy! Contact. | (UNUSED?)
!#1581434538314324559 | Unidentified enemy contact!| (UNUSED?)Unidentified enemy contact!
!#8437341235890104493 | Unidentified hostiles incoming! | (UNUSED?)Unidentified hostiles, incoming! 
!#6793308090128192853 | Unidentified hostiles incoming! | Unidentified hostiles incoming!
!#17202944021165916442 | Encounter cleared | Encounter, cleared.
!#1207965948562501092  | Encounter cleared.| Encounter, cleared.
!#17202944021165916442 | Encounter cleared.| Encounter cleared.
!#7570306805309713481  | Encounter cleared.| Engagement resolved.
!#2355778517690849147 | Enemy reinforcements inbound, prepare for contact.| Enemy reinforcements inbound. Prepare for contact.
!#5502048592641587680 | Enemy reinforcements inbound, prepare for contact.| Enemy reinforcements incoming. Prepare for contact.
!#322662018279020699   | Tunnel breach detected, bugs incoming. | (UNUSED?)Tunnel breach detected. Expect contact.
!#13475591837200033620 | Tunnel breach detected, bugs incoming. | (UNUSED?)Tunnel breach detected. Terminids incoming.
!#10488200584466310246 | Prepare for contact. | Prepare for contact.
!#340312240612891876   | Prepare for contact. | Pilot. Prepare for contact.
!#1555695575924315989 | Tunnel breach detected, prepare for bug contact. | Tunnel breach detected. Expect terminid contact.
!#17601991651080111344| Tunnel breach detected, prepare for bug contact. | Tunnel breach detected. Prepare for terminid contact.
!#15113121379016501495 | Bug tunnel breach detected. | Bug tunnel breach, detected.
!#6408530669582981309  | Bug tunnel breach, detected. | Bug tunnel breach, detected.
!#7570851662667022747 | Warning you are leaving the mission area. | Warning, you are leaving the mission zone.
!#15093190247839686001| Warning you are leaving the mission area. | Warning, you are leaving the mission zone.
!#3690177151204340483 | Helldiver you are moving outside the mission area. | Pilot, you are moving outside the mission zone.
!#17843507277716047008| Helldiver you are moving outside the mission area. | Pilot, you are moving outside the mission zone.
!#7636361709811243094 | Allied destroyer joining squadron, deploying helldiver to combat zone.| Allied ship, joining squadron, deploying pilot.
!#2606878662601502634 | Allied destroyer joining squadron, deploying helldiver to combat zone.| Allied ship, joining squadron, deploying pilot.
!#6814808254122191707 | Allied destroyer joining squadron, deploying helldiver. | Allied ship, joining squadron. Additional pilot, deployed.
!#17827840479351382954 | Allied destroyer joining squadron, deploying helldiver. | Allied ship, joining squadron. Additional pilot, deployed.
!#6674951688690297928 | Allied destroyer has left the squadron. | Allied ship has left the squadron.
!#4915412893258991184 | Allied destroyer has left the squadron. | Allied ship has left the mission.
!#3977287194648505982 | Allied destroyer leaving squadron. | Allied ship, abandoning the mission.
!#8306867814260611678 | Allied destroyer leaving squadron. | Allied ship is abandoning the mission.
!#9066678826860256254  | ETA t minus ten seconds. | E.T.A. . T minus ten seconds.
!#6114686985889776197  | ETA t minus ten seconds. | E.T.A. . T minus ten seconds. 
!#11279063753022114665 | ETA t minus ten seconds. | E.T.A. . T minus ten seconds. 
!#17687725986672216018 | ETA t minus ten seconds. | E.T.A. . T minus ten seconds.
!#7360863802294633727  | ETA t minus ten seconds. | E.T.A. . T minus ten seconds.
!#7489487549668280921  | ETA t minus ten seconds, clear landing zone. | E.T.A. . T minus ten seconds, clear the landing zone.
!#12070275908415734906 | ETA t minus ten seconds, clear landing zone. | E.T.A. . T minus ten seconds, clear the landing zone.
!#3234049631348832369 | ETA t minus twenty seconds. | E.T.A. . T minus twenty seconds.
!#5437194093083443270 | ETA t minus twenty seconds. | E.T.A. . T minus twenty seconds.
!#16601929410065504995| ETA t minus twenty seconds. | E.T.A. . T minus twenty seconds.
!#1581986910435902356| ETA t minus twenty seconds.  | E.T.A. . T minus twenty seconds.
!#15632203500359410150 | ETA t minus twenty seconds.| E.T.A. . T minus twenty seconds.
!#17592626738027487772 | ETA t minus thirty seconds. | E.T.A. , T minus thirty seconds.
!#4619523090012243590  | ETA t minus thirty seconds. | E.T.A. , T minus thirty seconds.
!#10507495018842638913 | ETA t minus thirty seconds. | E.T.A. , T minus thirty seconds.
!#15252897943072234319 | ETA t minus thirty seconds. | E.T.A. , T minus thirty seconds.
!#13164368913500056002 | ETA t minus thirty seconds. | E.T.A. , T minus thirty seconds.
!#6427076467232810857  | ETA t minus one minute. | E.T.A. , T minus one minute.
!#5211700013673575124  | ETA t minus one minute. | E.T.A. , T minus one minute.
!#3574418640036871289  | ETA t minus one minute. | E.T.A. , T minus one minute.
!#3957969083828434285  | ETA t minus one minute. | E.T.A. , T minus one minute.
!#10638797240236442184   | ETA t minus one minute. | E.T.A. , T minus one minute.
